source_id	archive_member	sha256	duration_s	video_format	audio_format	encode_provenance	copy_relation	date_or_period	machine_id	claim_type	confidence	rights_status	notes
METH90-A1	avi/Meth_1.avi	b91ef047534d1748f06f49b4c43de08153f53470834d78d00cb3d22fa50fdf72	565.838367	MSMPEG4v2 368x208 25fps	MP3 44100Hz stereo	Lavf51.12.1 derivative transcode	pair 1 AVI; same underlying recording as FLV1	in-picture 16/07/1990 approx 18:45:23-18:54:51	MX	provenance	high	third_party_permission_required	Full visual traversal; mostly occluded; no defensible machine geometry.
METH90-A2	avi/Meth_2.avi	09634a5e69a78a346bd12adae4586d5c400eaaf9968bfef29fcf4275a37989db	526.840000	MSMPEG4v2 368x208 25fps	MP3 44100Hz stereo	Lavf51.12.1 derivative transcode	pair 2 AVI; same underlying recording as FLV2	in-picture approx 16/07/1990 18:54:52-19:03:40	MX	provenance	high	third_party_permission_required	Full visual traversal; mostly occluded; no defensible machine geometry.
METH90-A3	avi/Meth_3.avi	1946e3ecce5f89acc6d0a97e90e035c00e37bc636bee8019d236140890767bd9	549.093878	MSMPEG4v2 368x208 25fps	MP3 44100Hz stereo	Lavf51.12.1 derivative transcode	pair 3 AVI; same underlying recording as FLV3	in-picture approx 16/07/1990 19:03:40 to ~19:09:40/41 before transition	MX	provenance	high	third_party_permission_required	At ~360 s source/visual transition; rare exterior frame reads most consistently TRIGONORM AG/TRIGO; provenance clue only.
METH90-A4	avi/Meth_4.avi	f1880c565f4a4ae894e374e6eb1195cfba2c84aff471cc7925559c4c36395c48	481.880816	MSMPEG4v2 368x208 25fps	MP3 44100Hz stereo	Lavf51.12.1 derivative transcode	pair 4 AVI; same underlying recording as FLV4	1990 association not independently visible in this part	MX	provenance	medium	third_party_permission_required	Visual track predominantly clothing/nearby surfaces; audio may be primary value.
METH90-A5	avi/Meth_5.avi	a4b82d8bfa9338a7c46201c626e5e6442bbede2a5937e9d54a65d57fc569579c	366.158367	MSMPEG4v2 368x208 25fps	MP3 44100Hz stereo	Lavf51.12.1 derivative transcode	pair 5 AVI; same underlying recording as FLV5	1990 association not independently visible in this part	MX	provenance	medium	third_party_permission_required	Visual track predominantly clothing/nearby surfaces; no machine geometry recovered.
METH90-A6	avi/Meth_6.avi	5d662179f9f08f48c49d33fa1b8a421cf3e3df00e6c07743f43fca71fb88e146	427.128163	MSMPEG4v2 368x208 25fps	MP3 44100Hz stereo	Lavf51.12.1 derivative transcode	pair 6 AVI; same underlying recording as FLV6	1990 association not independently visible in this part	MX	provenance	medium	third_party_permission_required	Visual track predominantly clothing/nearby surfaces; no machine geometry recovered.
METH90-F1	Meth_1.flv	67625b083ad63da30b5bf0ff8f48ceff190c6a47f0364e05b870c74894b7f80b	565.786000	FLV1 320x240 30fps	MP3 22050Hz mono	YouTube-derived encode	pair 1 FLV; same underlying recording as AVI1	inherits visible 16/07/1990 sequence from image content	MX	provenance	high	third_party_permission_required	YouTube creator/metadata tags; not an independent observation.
METH90-F2	Meth_2.flv	6062b6039d026b9add19d4ef14aa2d0802fc714d3f7605e48e63176356cd9be2	526.767000	FLV1 320x240 30fps	MP3 22050Hz mono	YouTube-derived encode	pair 2 FLV; same underlying recording as AVI2	inherits visible 16/07/1990 sequence from image content	MX	provenance	high	third_party_permission_required	YouTube creator/metadata tags; not an independent observation.
METH90-F3	Meth_3.flv	bd70da88c6816f69fbf299dbddd5a47188d31ff2999cbc47c21bf38af08a3bbd	549.042000	FLV1 320x240 30fps	MP3 22050Hz mono	YouTube-derived encode	pair 3 FLV; same underlying recording as AVI3	inherits visible 16/07/1990 sequence before transition	MX	provenance	high	third_party_permission_required	Same transition/building sequence as AVI3; not a decoder-only artifact.
METH90-F4	Meth_4.flv	9dd12cbb7310b67287cf95d2a1b285fb8a25228386e04bb9d34ce85953974d92	481.833000	FLV1 320x240 30fps	MP3 22050Hz mono	YouTube-derived encode	pair 4 FLV; same underlying recording as AVI4	1990 association not independently visible in this part	MX	provenance	medium	third_party_permission_required	YouTube derivative; no independent geometry evidence.
METH90-F5	Meth_5.flv	3d0b3e3a96d3741ce75834aa3c40e02581fcef0b6875821152b6a3e8b14c89f8	366.106000	FLV1 320x240 30fps	MP3 22050Hz mono	YouTube-derived encode	pair 5 FLV; same underlying recording as AVI5	1990 association not independently visible in this part	MX	provenance	medium	third_party_permission_required	YouTube derivative; no independent geometry evidence.
METH90-F6	Meth_6.flv	cb31e8b213d5fc517079272c6aad9be21c2a18f5bc1f5522e1fa47ed0d565ec3	427.076000	FLV1 320x240 30fps	MP3 22050Hz mono	YouTube-derived encode	pair 6 FLV; same underlying recording as AVI6	1990 association not independently visible in this part	MX	provenance	medium	third_party_permission_required	YouTube derivative; no independent geometry evidence.
