ID	event_date	publication_date	author_or_source	source_role	directness	claim_or_record	evidence_class	confidence	URL	project_effect	unresolved_gap
P2K2-001	1984-10-20	1985	P. H. Matthey report preserved in H. A. Nieper	engineer visitor/report	Matthey report quoted inside edited Nieper container	Nieper explicitly says Matthey saw converter with Swiss engineers and introduces a sentence as Matthey's comment `in his report`; later bibliographies attribute the Swiss ML article to P.H. Matthey or L.L./P.H. Matthey	W1/H1-Matthey-preserved-through-Nieper	medium-high for visit/report existence; medium for exact article authorship	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985	Upgrade P2K-004 from bare relay; keep Nieper tachyon/gravity interpretation separate	Original Matthey report / exact authorship layout not recovered
P2K2-002	1984-10-20	1989 preferred; secondary list says 37/88	Dipl.-Ing. Pierre H. Matthey / raum & zeit	later article by likely same Neuchatel engineer	publisher archive + historical literature index	Article `Freie Energie ist in uns - nicht in Maschinen`; historical index identifies `Dipl.-Ing. Pierre H. Matthey, Neuchatel`; official publisher archive names Pierre M. Matthey and year 1989	A1/H1-publication	strong identity bridge; high title/issue provenance; date/initial conflict retained	https://www.raum-und-zeit.com/produkt/freie-energie-ist-in-uns-nicht-in-maschinen/	Shows later Matthey public position needs independent reading; do not freeze him into Nieper's 1985 framing	Full article needed; do not call it a Testatika retraction without text
P2K2-003	1980 alleged	modern secondary page	Nieper/Marinov secondary attribution	chronology-conflict lead	tertiary/annotated quotation	Modern page says Marinov called Nieper first person who admitted seeing/testing Testatika at his Hannover conference; page author adds parenthetical `November 1980`; Nieper's own 1985 text says he personally inspected converter 28-Oct-1984	CONFLICT / S2	low for 1980 Testatika date	https://nuetec-forschung.de/Thesta-Distatika/Testatika.html	Do not move Testatika chronology to 1980; accepted earliest remains 1983 relay / 1984 detailed witnesses	Exact TWT-V wording and 1980 conference material mentioning Testatika needed
P2K2-004	unknown pre-1989	1989	Adolf Schneider	book author	bibliographic source target	`Energien aus dem Kosmos`, Jupiter-Verlag, Thun, 1989; later Schneider and Meyl references point specifically to p.29 for Testatika	A1/BIBLIOGRAPHIC	high for book/publication; medium-high that p29 concerns Testatika; unknown exact content	https://www.datadiwan.de/magazin/dz0113d_.htm	Adds pre-1990 Schneider Testatika source target, earlier than detailed 1994 retrospective	Acquire original 1989 book p29 plus surrounding pages
P2K2-005	1989-10	1989	Methernitha	institutional source	bibliographically direct institutional transcript	`Informationsfilm Thesta-Distatica: Sound Track Transcription`, SAFE proceedings, Einsiedeln 1989, ISBN 3-9520025-1-8	A1 / primary-source acquisition target	high for bibliographic existence	https://www.padrak.com/ine/INE11.html	Highest-priority missing operator/institutional wording before later theory layers	Full original proceedings/transcript not recovered
P2K2-006	1989 SAFE congress	1990-05	Oswald Eggenberger / Relinfo	independent near-contemporary reporter	independent public-event report	Reports Francis Bosshard presented Testatika to ~500 attendees and describes Bosshard's conviction that it catches freely available energy and converts it to practical energy	S1/A1	medium-high	https://www.relinfo.ch/methernitha/testatikatxt.html	Independent support for Methernitha public `energy converter` framing, not mechanism proof	Original Bosshard speech/soundtrack wording needed
P2K2-007	1989/1990 context	winter 1990	Spuren von Entfaltung, Wandel und Einklang no.14	Swiss contemporary publication lead	bibliographic lead reported by Relinfo	Relinfo says several pages in issue 14 were devoted to Methernitha/Testatika	A1/BIBLIOGRAPHIC LEAD	medium-high for issue existence/source trail	https://www.relinfo.ch/methernitha/testatikatxt.html	Adds independent Swiss contemporary source line close to SAFE event	Acquire original Spuren no.14 article
P2K2-008	1990-11-20	1990	Stefan Marinov	direct author	first-person dated text	In TWT-VII Marinov still urges a physicist to inspect Testatika and continues publicly to call it a perpetuum-mobile/free-energy machine	H1	high as Marinov position / low for mechanism proof	https://www.yumpu.com/en/document/view/47540853/the-thorny-way-of-truth-free-energy-community	Chronology control: continued belief does not equal recovered mechanism	Map exact TWT-VII page and distinguish claim from experimental evidence
P2K2-009	pre-issue40 1989	1989	raum & zeit DIALOG contribution	publisher-confirmed source lead	publisher archive says earlier DIALOG text triggered Testatika discussion	Title `Da staunten die Schweizer` preceded Marinov's issue-40 Testatika report	A1/BIBLIOGRAPHIC LEAD	high for existence / unknown content	https://www.raum-und-zeit.com/produkt/methernitha-und-testatika/	Potentially earlier 1989 public Testatika source than Marinov issue40	Identify issue number, author, pages, full text
P2K2-010	1984 report line	later bibliography	L.L. + P.H. Matthey attribution	source-genealogy warning	secondary bibliography	Later Moray King/other references cite `L.L., P.H. Matthey` for `The Swiss ML Converter - A Masterpiece...`; surviving Nieper container separates the L.L. 17-Mar report from the preceding Swiss ML section	CONFLICT / genealogy	medium	https://www.novakcorp.com/energy/experiments/sstestats.htm	Do not merge L.L. and Matthey into one witness/event solely because later bibliography does	Original table of contents/byline and Matthey report needed
P2K2-011	pre-1991 visit	1991-01/02	Stefan Hartmann via Totse mirror	direct author self-report	direct-author mirror	Hartmann says he personally visited Methernitha and develops his own electrostatic/Wimshurst + magnetic-addition + charged/ionized-air/background source hypotheses	H1-M + HYPOTHESIS	high for Hartmann's self-report/theory; low for machine truth	https://newtotse.com/oldtotse/en/fringe/free_energy/statika1.html	Historical evidence that environmental-air theory existed by early 1991, but it is Hartmann's theory, not Methernitha disclosure	Recover original posting/header and exact visit date
