id	source_date	source	machine	transmission	evidence_status	statement_or_finding	engineering_consequence	url
R10-01	1999-03-10 letter; web heading says Mar-1998	Sauder/Snicker relay preserved by Rob Kalmeijer	UNRESOLVED earlier M-L converter	Sauder/Snicker -> anonymous letter writer -> web preservation	H2 / date conflict	Top allegedly not ordinary rectifier but solenoid-like element with movable jumper/contact; Baumann allegedly retuned it after partial disassembly/inspection	High-value tunable-L/impedance/phase lead only; no M2 baseline promotion	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html
R10-02	1999-03-10 letter; web heading says Mar-1998	Sauder/Snicker relay preserved by Rob Kalmeijer	UNRESOLVED earlier M-L converter	Sauder/Snicker -> anonymous letter writer -> web preservation	H2 / CONFLICT with M2 direct source	Earlier large jars/pots allegedly plastic containers filled with aluminium lathe shavings	Keep as model-specific hearsay; do not overwrite Marinov M2 grid+plastic+central-Cu-spiral pot	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html
R10-03	1984-03-17; reproduced 1985	L. L., Rorschach witness report in Hans A. Nieper book	M5a	Direct witness report -> Nieper publication	W1 geometry + I1 causal interpretation	~60 rpm said synchronized by magnetic impulses; strong horseshoe magnets described as parts of electrical resonance circuits involved in charging discs	Raises large-machine magnet/resonance-conditioning hypothesis; not proof of source or M2 topology	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985
R10-04	1986 visit; expanded later report	Albert Hauser expanded report	M6a / large family	Hauser observation plus reports-from-other-visitors relay	H2 for hidden base internals	Thick wooden foundation plate allegedly alternated perforated conductive plates and insulating plates	Treat base as potentially active capacitive/field node in large-family experiments; acquire original visitor reports	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html
R10-05	2001 workshop video/transcript	Luzi Cathomen	M7/workshop family	Direct workshop transcript	O1/P1 subject to transcript/object mapping	Cathomen identifies structures as Abnehmer; asked if also magnetized, answers yes	Model workshop pickups as dual electrostatic/magnetic-bias candidates; do not transfer to M2	https://www.allmystery.de/themen/gw11473-5
R10-06	2001 workshop video/transcript	Luzi Cathomen	M7/workshop family	Direct workshop transcript with interviewer-prompted terminology	O1/P1 mixed with interviewer framing	Front part framed by visitor as spark gap/vacuum; Cathomen says 'Vakuum ist es noch nicht' and says it is connected with a condenser	Reduced-pressure/nonlinear-switch candidate only; not proven thermionic tube or energy source	https://www.allmystery.de/themen/gw11473-5
R10-07	later back-engineering	Paul E. Potter	mixed/large imagery	Photo-based reconstruction	S2/I1	Potter identifies horizontal top glass tube as homemade thermionic vacuum rectifier	Keep reversible hypothesis; universal vacuum-tube identification not source-secure	https://www.rexresearch.com/testatik/testart.htm
R10-08	later Hauser retrospective	Albert Hauser / Baumann attributed	large-family retrospective	Hauser late retrospective / Baumann->Hauser	H1/H2 qualitative only	Machine reportedly would not work in space; atmospheric charged ions described as collected/sorted; closed doors/windows stop and opening window restarts; storms avoided	Environmental coupling deserves controlled testing; atmospheric-ion explanation is operator claim, not demonstrated 100-W source	https://equapio.com/energie/testatika-legendaere-energiemaschine-der-methernitha/
R10-09	1989 Marinov + institutional technical line	Stefan Marinov / Methernitha	M2 + institutional family	Primary/near-primary source base	SOURCE-STATED / observation	Dry air / low humidity favorable; no reliable historical source found in Round 10 that cold temperature itself is required	Keep RH and temperature separate experimental variables; do not historicize 'cold' as established requirement	N/A
R10-10	2001 archive metadata + public transcript	Dieter Dienst metadata / transcript M,D,T labels	M7/workshop footage	Embedded media metadata versus unnamed transcript roles	CONFLICT	Archive metadata says Dieter Dienst speaking with Luzi Cathomen; public transcript does not name D; earlier project-side D=Hartmann mapping is not secure	Use D/interviewer until timestamped identity bridge resolves speaker mapping	N/A
