id	printed_pages	source_voice	evidence_class	claim_or_observation	project_use	guardrail
SCH23-22-01	35	Hans Weber retrospective interview	W1-retrospective	Weber says he visited Methernitha with the Schneiders in 1984, saw a functioning prototype and was allowed to experiment with it.	Witness chronology and visit provenance.	Not a contemporaneous 1984 lab record.
SCH23-22-02	35-36	Baumann as relayed by Weber	H1/W1-relay	Baumann explained the principle by analogy to nature, thunderstorms and atmospheric electricity; one rotating disk represented clouds and the other earth.	Operator-language/environmental-source lead.	Conceptual analogy, not quantitative coupling mechanism.
SCH23-22-03	36	Hans Weber retrospective observation	W1-retrospective	Weber says he lifted the machine and saw no battery or external power source underneath.	Limited anti-concealment evidence.	Does not exclude internal storage, hidden paths or environmental coupling.
SCH23-22-04	36	Hans Weber retrospective component claim	W1/I1	A diode-like element was present and Weber says it could rectify very high frequencies.	Crystal/rectifier/nonlinear one-way charge-path lead.	Bandwidth/function not independently measured; do not infer vacuum-energy source.
SCH23-22-05	37	Hans Weber retrospective technical description	W1-retrospective	Metal pickup plates/Taster took charge capacitively without rubbing the lamellae; counter-rotating disks were hand-started and charge/current was taken off without contact.	Strong non-contact capacitive pickup architecture constraint.	Applies to this witness-machine family, not every Testatika variant.
SCH23-22-06	37	Hans Weber interpretation	W1/I1	Rotation creates/as exploits asymmetry in charge distribution, enabling charge separation.	Supports variable-capacitance/electrostatic charge-transfer testing.	Mechanistic interpretation, not a complete original circuit.
SCH23-22-07	37	Hans Weber retrospective operating claim	W1-retrospective	Machine was about one metre wide; disks roughly gramophone-record speed; after manual start they reportedly continued while energy was taken off.	Geometry/rpm and self-running witness lead.	No closed input/output energy balance.
SCH23-22-08	38-41	Hans Weber explanatory model	I1/HYPOTHESIS	Weber proposes atmospheric ions/negative oxygen ions, ion chains/polymer-like states and an HF trigger between the disks as an artificial-thunderstorm mechanism.	Environmental chamber, ion-density and HF-burst test leads.	Not Baumann's own technical language; no direct ion/HF measurements in these pages.
SCH23-22-09	42	Hans Weber methodological statement	W1-retrospective	Weber explicitly says the air-ion explanation remains a hypothesis until measurements are made and proposes ionisation and vacuum/airless tests.	Strong methodological guardrail for environmental-source experiments.	Humidity sensitivity alone is not proof of atmospheric energy harvesting.
SCH23-22-10	44	Hans Weber retrospective technical description	W1/I1	Stable disk running was associated with a low-frequency speed-regulation arrangement involving a magnet wheel and induction.	Control/timing subsystem lead; compare with sensor/synchronisation evidence.	Do not identify regulator or magnets as the bulk energy source without power-flow evidence.
SCH23-22-11	44	Interview infrastructure statement	S2/W1-relay	Large cellar batteries were said to store energy from Testatika and wind generators.	Storage/infrastructure context.	Does not show batteries were disconnected from or connected to the machine during a specific test.
SCH23-22-12	22-34	Francis Bosshard interview	S2/institutional-context	Bosshard frames Testatika as working according to a natural/order principle and says further optimisation/deployment was not prioritised.	Institutional history and terminology.	No node map, component values or independent performance verification.
