claim_id	locator	speaker	short_source_phrase	claim_type	machine_scope	evidence_status	technical_consequence
M90-C01	Meth_1 00:34.71-00:53.31	M	Speziallegierungen; man könnte die magnetisieren	material	unfinished workshop machine	operator-adjacent transcript statement	Magnetizable special-alloy segments are a model-specific candidate; do not transfer to Marinov M2 copper-wire rotor.
M90-C02	Meth_1 01:15.95-03:19.43	M	4 kW; stationär ungefähr 20 kW	output_claim	large/workshop machines	unverified verbal output claim	Do not use as measured output or closed energy balance.
M90-C03	Meth_1 05:09.65-05:15.27	M	Ungefähr 60, nicht schneller	operation	discussed workshop machine	operator-adjacent transcript statement	Approximate speed claim only; units inferred from dialogue context.
M90-C04	Meth_1 05:15.27-05:27.05	D	60 Umdrehungen für die 50 Hz	interpretation	discussed workshop machine	visitor interpretation	50-Hz mapping belongs to D, not an independently stated Methernitha design law.
M90-C05	Meth_1 05:27.05-06:03.89	M/D	Kondenser; leydnische Flaschen; von da nehmen wir den Strom weg	wiring/function	discussed workshop machine	operator-adjacent functional statement	Leyden-style capacitors are described as storage/output takeoff elements.
M90-C06	Meth_1 06:54.07-Meth_2 01:43.85	M	Energie wird abgenommen; geht da rauf; verstärkt; hinunter auf Kondensatoren; aufgespeichert	wiring/function	discussed workshop machine	operator-adjacent functional chain	Supports collection -> upper conditioning -> storage architecture; does not identify bulk source.
M90-C07	Meth_1 07:58.41-08:01.55	D/M	Transformator; Transformator ja	interpretation/function	discussed upper stage	visitor term accepted by M	Indicates transformation/conditioning analogy only; no topology recovered.
M90-C08	Meth_1 08:04.85-08:19.07	M	aufgewandelt; wir haben ja Gleichstrom	operation	discussed upper stage	operator-adjacent terminology	Supports DC-oriented output/conditioning language; non-standard term remains untranslated.
M90-C09	Meth_1 08:29.55-08:41.21	M/D	100... kW / 100 kV	measurement_claim	discussed HV node	transcript ambiguity	Unit is internally corrected/challenged in dialogue; do not promote a numeric voltage without audio lock.
M90-C10	Meth_1 08:59.47-Meth_2 00:24.51	M	womit wir die Kapazität erhöhen; Magneten und Sachen (Spulen?)	function/material	upper module	operator-adjacent statement plus uncertain token	Strongest statement is capacity increase; magnets stated; coils remain uncertain; not a Tesla-coil baseline.
M90-C11	Meth_2 02:02.61-03:18.39	M/D	Art Funkenstrecken; Vakuum ist es noch nicht; hängt mit einem Kondenser	function	front discharge component	operator-adjacent dialogue	Reduced-pressure/discharge/condenser-associated element is a serious test lead; gas, pressure, electrodes and topology unknown.
M90-C12	Meth_2 03:59.43-04:58.53	M	Abnehmer; keine Reibung; nicht touchiert; Abnützung einzig das Lager	operation	discussed pickup system	strong operator-adjacent convergence	Supports non-contact pickup baseline and argues against adding a rubbing collector without contrary machine-specific evidence.
M90-C13	Meth_2 04:58.53-05:19.83	M/D	Plexiglas; schwarzes Plexiglas	material	discussed workshop assembly	operator-adjacent material statement	Clear and black PMMA/Plexiglas are explicitly named for this assembly.
M90-C14	Meth_2 08:32.05-Meth_3 00:12.13	M/D	Platten gegeneinander; konträr	operation	two-disc workshop machine	operator-adjacent statement	Supports counter-rotation for this machine family only.
M90-C15	Meth_3 03:21.59-04:21.41	M/D	Fühler; für die Impulse; immer gleich; Synchronsteuerung	operation/control	early machine	strong operator-adjacent control statement	Supports impulse sensor -> frequency/speed constancy -> synchronization/control.
M90-C16	Meth_3 07:37.41-09:01.01	M	Plattenspieler; Elektrizität die man brauchen kann; drehen; Spannung; Anfang vom Anfang	provenance/function	development history	operator-adjacent historical account	Strongly supports electrostatic/record-static development lineage rather than an original Tesla/RF lineage.
M90-C17	Meth_4 00:51.61-01:01.47	D	Spannung aufrechtzuerhalten ist das Problem	interpretation	development problem	visitor synthesis immediately following M account	Highlights cyclic voltage/charge regeneration as engineering problem; not itself source identification.
M90-C18	Meth_4 05:08.95-05:25.03	M	nur mit einer Scheibe; andere Platte stationär; Rad doppelt so schnell	operation	one-disc variant	operator-adjacent model statement	Directly supports machine-family diversity and a stationary-counterelectrode variant.
M90-C19	Meth_4 07:01.17-Meth_5 00:37.05	M/D	1000-W-Lampe; Maschine gerade nicht da; vorher 1985	output_claim/provenance	historical demonstration	operator-adjacent claim	Lamp rating and 1985 chronology are claims, not closed input/output metrology.
M90-C20	Meth_5 00:48.83-00:57.49	M	Anlasser von meinem Auto	operation	historical photographed/test setup	operator-adjacent statement	A visible motor/starter may be a start/test drive; exact coupling during load demonstration still requires image-time lock.
M90-C21	Meth_5 01:28.17-01:51.49	M	wenn die Ware da wäre, 14 Tage	fabrication	large converter	operator-adjacent workshop statement	Manufacturing lead only; says nothing about source physics.
M90-C22	Meth_5 04:20.89-04:28.23	D	wenn Sie das aus der Luft nehmen	interpretation/source premise	energy-source discussion	visitor wording	Explicit air-source premise belongs to D; do not rewrite as M saying 'we take energy from air'.
M90-C23	Meth_5 04:28.23-05:18.09	M	Die Elektrizität, das ist da; gleicher Effekt wie Blitz; Natur/Luft reinigen	interpretation/source language	energy-source discussion	operator-adjacent qualitative language	M accepts existing-electricity/lightning/nature framing but gives no quantitative source model; ordinary fair-weather atmospheric power remains far too small under V4.28 bounds.
M90-C24	Meth_5 later discussion	M	Entnahme in Millionen Geräten könnte Natur schaden	interpretation/source language	large-scale deployment	operator-adjacent qualitative concern	Historical worldview/provenance evidence, not a measurable reservoir law.
