id	source_or_author	date_or_edition	url	machine_scope	class	verified_use	limitations
WEB3-001	Stefan Marinov, Die Maschine TESTATIKA und ihr physikalischer Hintergrund	first published 1989; later German translation mirror	https://nuetec-forschung.de/Thesta-Distatika/Marinov_physik_Hintergrund.pdf	M2/M3/medium/M6c	P0-AUTHOR-TEXT-MIRROR	Marinov explicitly says he did not understand/reconstruct principle; distinguishes small one-disc from medium/large twin-disc machines; identifies tested right-hand small machine	Later German translation, not original-language print scan; exact wording needs source-language verification
WEB3-002	Marinov medium/large sector passage	1989 text mirror	https://nuetec-forschung.de/Thesta-Distatika/Marinov_physik_Hintergrund.pdf	medium/M6c	P0-AUTHOR-TEXT-MIRROR	Medium and large sectors perforated; medium holes smaller, large holes larger; Baumann-stated special Fe-Ni alloy and slight magnetization for large sectors	Exact hole dimensions/alloy chemistry/magnetization unknown; machine mapping to M6a unresolved
WEB3-003	Marinov medium electrode count	1989 text mirror	https://nuetec-forschung.de/Thesta-Distatika/Marinov_physik_Hintergrund.pdf	medium/MX	P0-AUTHOR-TEXT-MIRROR	Marinov counts 9 visible electrodes and says surely at least 10; collector/driver roles unresolved	Count is from image/film interpretation; exact total and identity to M6a unresolved
WEB3-004	Marinov M2 startup/shield passage	1989 text mirror	https://nuetec-forschung.de/Thesta-Distatika/Marinov_physik_Hintergrund.pdf	M2	P0-AUTHOR-TEXT-MIRROR	Dry-air 3-4 pushes, humid more, E-W startup source-stated, post-start reorientation observed, ~1 rev/s, rear metal plate stop, easier later restarts	Translation mirror; causal mechanism unknown
WEB3-005	Marinov large counterrotation cord	1989 text mirror	https://nuetec-forschung.de/Thesta-Distatika/Marinov_physik_Hintergrund.pdf	M6/M6c	P0-AUTHOR-TEXT-MIRROR	Marinov says cord/string seen on large machine was quite loose; medium used related counterrotation device	Exact machine identity/transmission geometry unresolved; force inference qualitative
WEB3-006	Marinov open large cylindrical parts	1989 text mirror	https://nuetec-forschung.de/Thesta-Distatika/Marinov_physik_Hintergrund.pdf	M6c	P0-AUTHOR-TEXT-MIRROR	Outer cylindrical electrode plus inner thick-Cu-wire coil observed in open large parts; Marinov interprets as simple capacitors/no HF	Interpretation is Marinov's; conflicts with separate Hauser M6a three-grid/bifilar source line; likely variant/stage issue
WEB3-007	Marinov two-bus model	1989 text mirror	https://nuetec-forschung.de/Thesta-Distatika/Marinov_physik_Hintergrund.pdf	M2/M6-HYPOTHESIS	P0-AUTHOR-HYPOTHESIS	High-V driving-capacitor vs lower-V collecting-capacitor model is explicitly inferential; Marinov says actual operation remains unclear	Not recovered wiring; experimental hypothesis only
WEB3-008	Stefan Marinov TWT VII Einsiedeln account	1990 later document mirror	https://www.scribd.com/document/117713319/The-Thorny-Way-of-Truth-Part7-Marinov	EVENT-1989	P0-AUTHOR-TEXT-MIRROR	27-29 Oct 1989 SAFE congress; about 700 participants; 30-min Testatika/Methernitha film presented	Later mirror; attendance approximate
WEB3-009	Oswald Eggenberger Relinfo information sheet	May 1990	https://www.relinfo.ch/methernitha/testatika.html	EVENT-1989	S1-CONTEMPORARY-EXTERNAL	Bosshard presented Testatika before about 500 attendees not in natura but only in film	External critical observer; no engineering validation; attendee count differs from Marinov
WEB3-010	Albert Hauser later author retrospective	updated 2020	https://equapio.com/energie/testatika-legendaere-energiemaschine-der-methernitha/	M6/M9/ENVIRONMENT	P1-LATE-RETROSPECTIVE	Location-change concealment check; Baumann-attributed atmosphere/ions, closed-window stop/open-window restart, storm shutdown, lightning/weather analogy; temporary 2m/30kW claim	Same web text has obvious numeric corruption vs direct scans; qualitative retrospective only; operator mechanism unverified
WEB3-011	Donald A. Kelly SAE 929472	3 Aug 1992	https://saemobilus.sae.org/papers/enhanced-quad-disc-electrostatic-generator-929472	KELLY-DERIVED	P0-AUTHOR-DERIVATIVE	Official SAE record for Kelly's four-disc derivative electrostatic generator; cites Swiss-like capacitive transformers	Kelly's design/hypothesis, not recovered Testatika geometry or circuit
