priority	target	known_locator_or_lead	why_it_matters	acceptance_rule	status
P0	Original/scan of Stefan Marinov 1989 Testatika article / TWT-V pages	Raum & Zeit no.40 / TWT-V; online translation and author mirrors already located	Locks exact wording for M2 E-W startup, humidity/push count, metal-plate stop, speed and open large capacitor observations	Scan must show publication identity/pages; hash and preserve locator; translations stay secondary to original language	OPEN
P0	DIFØT-nyt no.5/1986 Albert Hauser	equapio Hauser author article gives issue number/date	Contemporaneous shorter direct-visit report	Acquire complete issue/pages; compare line-by-line with current Hauser scans	OPEN
P0	DIFØT-nyt no.14/1988 Albert Hauser	equapio Hauser author article gives issue number/date	Expanded direct-visit report; may resolve cylinder/stator details	Acquire complete issue/pages; record image/drawing provenance	OPEN
P0	Ufo-Kontakt / English Hauser derivative	Hauser says report travelled via Danish Ufo-Kontakt to British English publication	May expose translation changes and additional images	Acquire exact issue and identify translator/editor; never outrank Danish/original scan	OPEN
P0	Methernitha 1989 Informationsfilm ThestaDistatica Sound Track Transcription	Internationaler Kongress für Freie Energie, Einsiedeln, ISBN 3-9520025-1-8	Exact official film transcript wording and terminology	Acquire proceedings pages or library scan with ISBN/page context	OPEN
P0	Yahoo Testatika group PG Offline archive	groups.io 2019 thread reports all files/photos/conversations, 11,284 messages back to 2000	Potentially largest surviving discussion/source-lead corpus	Obtain archive from holder; hash raw files; separate official/source attachments from user speculation; preserve message metadata	OPEN
P0	Original German amateur-video transcript / highest-quality audio	Current archive has video; Rob Kalmeijer mirror is garbled English translation	Needed to lock 1m/2m/tandem wording and technical terms	Transcribe directly from audio where intelligible; timestamp every statement; no machine translation as final authority	OPEN
P0	Original Inge Schneider 1994 brochure pages: Neue Technologien zur Freien Energie	NET-Journal 2011 republishes the 13 Mar 1984 account	Can establish exact original wording and whether later article edited the geometry/demo account	Acquire brochure scan with title/copyright/pages; compare verbatim with 2011 reproduction	OPEN
P0	Original 1999 Burgdorf-engineer event evidence	2004 seminar says 34 engineers on 5 Jun 1999; 2011 NET-Journal says 30 Swiss engineers on 4 Aug 1999; Holzherr pages have early-Aug email/translation dates	Resolve whether these are separate demonstrations or a date conflation	Require contemporaneous invitation/attendee list/photo/video/report with explicit visit date; keep CONFLICT until then	OPEN
P1	Hans Weber / Inge Schneider 13 Mar 1984 original notes/video	2011 NET-Journal republishes Schneider account; 2004 seminar says Hans Weber had video	Earliest detailed M5 demonstration/test line and potential moving imagery	Acquire original video/notes; timestamp/identify machine before property transfer	OPEN
P1	L. L., Rorschach 17 Mar 1984 original report/manuscript	Nieper 1985 book mirror now located and reproduces report	Could resolve witness identity, source independence from Schneider account and exact machine date	Acquire original typed report or publisher source; do not infer full identity from initials	OPEN
P1	P.H. Matthey original 20 Oct 1984 report	Nieper 1985 book section says Matthey inspected on 20 Oct 1984	Could add independent late-1984 geometry/measurement detail	Acquire signed report/publication; distinguish observation from Nieper theory	OPEN
P1	Hans Nieper 28 Oct 1984 original notes/report	Nieper book says he personally inspected on 28 Oct 1984	Could clarify what Nieper himself observed versus what he reprinted from others	Acquire contemporaneous notes or first-edition source passage; current book mirror preserves later publication text	OPEN
P1	Magnets Magazine August 1987 Kelly Testatika item	Raum & Zeit archive/index and later references point to an Aug 1987 Kelly article	May reveal early Kelly drawings/theory and what changed by 1991	Acquire exact issue/pages; tag all geometry as photo-derived unless direct observation separately proven	OPEN
P1	Magnets Magazine Dec 1988 pp19-26: More About the Swiss M-L Converter: Pros and Cons	Exact citation in Kelly/Bailey 1991 IECEC paper	Likely contains contemporary pro/con source material and possibly drawings	Acquire complete pages 19-26 and identify authors/editorial voices	OPEN
P1	raum&zeit 40/1989 original Testatika pages	Catalogue/index identifies Marinov pp76-81 and Kelly pp82-84	Primary German publication target for Marinov/Kelly text and figures	Acquire whole relevant page range with issue metadata; hash scans	OPEN
P1	Kelly & Bailey 1991 IECEC original proceedings scan	Public Padrak PDF located, 7 pages	Already strong publication source; original proceedings copy would verify pasted-in figures and pagination	Compare proceedings scan byte/content to public PDF; preserve citation/figure provenance	MIRROR_FOUND
P1	Hans Nieper 1985 publisher edition pages 359-362	Scribd full-book mirror located	Book text now usable for provenance and M5a witness report; publisher scan would strengthen edition integrity	Acquire publisher/print scan of pp359-362 and title/copyright pages	MIRROR_FOUND
P1	2002 British documentary Testatika	British Council database identifies 20-min film, Sarah Tripp/Cineworks	Potential independent video/interview imagery not in archive	Acquire lawful viewing copy; frame-audit and identify interview dates/machines	OPEN
P1	Old colossus2 Testatika website archive	Padrak/Bönisch references old Baylor/BCM host	May recover early unmodified photos/text and filenames	Locate Internet Archive/site backup; hash files; compare image bytes with current archive	OPEN
P1	phoenix.oulu.fi /pub/free_energy archive	1990s references indicate early free-energy FTP	Could recover pre-web file versions/provenance	Locate FTP mirrors/archive snapshots; hash and deduplicate	OPEN
P2	Original 2010 Methernitha reply to NET-Journal	2011 NET-Journal publishes recipient-side wording	Locks later institutional status and provenance warning	Acquire original letter/email header/body; published reproduction remains H1/P1 until then	OPEN
P2	Don Kelly original Testatika drawing publication	Marinov says Kelly saw photos only; IECEC 1991 confirms authors' evidence was documents+video	Needed to identify what is photo-derived vs later reconstruction	Acquire dated original drawing article; tag every geometry claim S2/photo-derived	OPEN
P2	Original private correspondence behind Rimstar Principle Experiment addendum	Rimstar page gives flattened-hemisphere base and capacitor dimensions	Could strengthen M0 geometry details	Acquire dated correspondence/email with sender/recipient chain	OPEN
P2	Paul Potter original web package/version history	Current archive has Potter package; external mirrors vary	Useful to distinguish Potter revisions and source imports	Hash dated snapshots; do not promote interpretation to primary evidence	OPEN
P2	Don Kelly / Space Energy Association 1998 prototype outcome	NEN Vol.6 No.6 reports prototype construction	Could determine whether a concrete Kelly replication reached testing and what was measured	Acquire dated project report/photos/test data; never infer result from construction announcement	OPEN
P1	1989/1990 Einsiedeln SAFE congress programme/photos	Relinfo May 1990 says film-only; later literature says live demonstration	Resolve live-machine versus film-only provenance conflict and audience/date confusion	Require contemporaneous programme, photographs or date-locked attendee report	OPEN
