ID	Date	Author_or_source	Role	Claim_or_record	Source_class	Confidence	URL	Project_effect
HOU-001	1992-02-03	Stefan Hartmann	Direct author	Compares William Hyde electrostatic rotor/stator patent with Methernitha Testatika; mentions earlier Testatika SVGA animation; remains skeptical of 900% Hyde claim	H1	high	https://groups.google.com/g/sci.energy/c/pVGecAtRSXc	Establishes early electrostatic/variable-capacitance Hartmann frame
HOU-002	1999-08	Hans Holzherr -> Stefan Hartmann	Eyewitness correspondence	50-cm machine reportedly ran during ~1.5 h visit; brief 1000-W lamp/heater/arc demonstrations; ~15 rpm; no closed energy balance	W1	high for report / low for net-power proof	https://www.novakcorp.com/energy/experiments/tesnews.htm	Keep observation distinct from energy conclusion
HOU-003	1999-08	Stefan Hartmann	Questioner/translator/distributor	Asks permission to place Holzherr image on overunity.com and states he will translate emails into English for Free Energy lists	H1-M	high	https://www.novakcorp.com/energy/experiments/tesnews.htm	Documents transmission chain to Overunity ecosystem
HOU-004	1999-08	Hans Holzherr	Eyewitness	Principle Experiment: perforated Al/brass mesh + plexiglass stack; ~60 V after ~10 swings; Baumann says solid foil would not give effect	W1	high as reported observation	https://www.novakcorp.com/energy/experiments/tesnews.htm	Strengthens controlled mesh-vs-foil experiment priority
HOU-005	1999-08	Hans Holzherr	Eyewitness	Baumann reportedly answers definite NO to radium-chloride energy-source question	W1	medium-high	https://www.novakcorp.com/energy/experiments/tesnews.htm	Downgrades specific radium-chloride story
HOU-006	1999-08	Stefan Hartmann	Commentator	Hartmann says he strongly doubts Nelson Camus radium-chloride claim	H1-M	high as Hartmann position	https://www.novakcorp.com/energy/experiments/tesnews.htm	Shows Hartmann later changed toward broader radioactive-mineral theory
HOU-007	1999-08	Hans Holzherr	Eyewitness	Baumann difficult to understand because he spoke softly/fast and used non-scientific terms	W1	high	https://www.novakcorp.com/energy/experiments/tesnews.htm	Supports language-decoder correction; not a Marinov quote
HOU-008	2000-06	Stefan Hartmann	Hypothesis author	Treats Principle Experiment and Testatika discs as electret/influence structures with non-contact Taster pickup	H1-M	high as Hartmann hypothesis / medium for mechanism	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	Adds H36 electret/charge-state hypothesis
HOU-009	2000-06	Stefan Hartmann	Hypothesis author	Suggests phase/polarity switching can maintain rotor motion after electrostatic alignment	H1-M	medium	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	Converges with charge-gate/commutation tests
HOU-010	2000-06	Stefan Hartmann	Hypothesis author	1uF@1000V -> 100uF gives ~10V, called capacitive transformer with big current	H1-M	high as quoted hypothesis / low as energy-source evidence	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	Voltage redistribution valid; energy gain rejected by quantitative audit
HOU-011	2000-06	Stefan Hartmann	Hypothesis author	Wire mesh needed to interact with polarized/ionized air; atmospheric ions proposed as power source	H1-M	high as Hartmann hypothesis / low as energy-source evidence	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	Retain mesh-field/corona hypothesis; reject unmeasured air-ion kW source
HOU-012	2000-06	Stefan Hartmann	Numerical claim	States ~10^23 air molecules/cm3	H1-M	high as source text / false numerically	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	Correct to ~2.5e19/cm3 near room conditions and 1 atm
HOU-013	2005 archival pointer	Overunity.com via external archive pointer	Archive/hosting record	Historical Testatika discussion linked as overunity.com topic 75	A1	medium-high	https://www.allmystery.de/themen/gw17232-3	Documents dedicated Overunity Testatika thread existence
HOU-014	2005	Overunity.com via external links	Media hosting record	Historical Testatika media files testa01.rm and testa02.rm hosted under /testatika/	A1	high for historical URL provenance	https://www.allmystery.de/themen/gw17429	Documents historical hosting only; does not establish camera authorship or interviewer identity
HOU-015	2006	Overunity.com via external links	Media hosting record	Historical Testatika media list also names meth5.asf	A1	high for historical URL provenance	https://www.elektroda.pl/rtvforum/topic384883-90.html	Adds historical media-path provenance only
HOU-016	undated later	Stefan Hartmann	Hypothesis author	Proposes pulsed-HV stimulation of weakly radioactive minerals/rocks and beta-electron collection in Testatika assemblies	H1-M	high as Hartmann hypothesis / low for Testatika truth	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	Adds H39; requires isotope/radiation evidence, absent in corpus
HOU-017	2008	Stefan Hartmann	Interview respondent	Attributes Methernitha/Testatika main effect to negative resistance and excited radioactive decay/beta electrons	H1	high as Hartmann position / low for mechanism proof	https://dandelionsalad.wordpress.com/2008/06/27/free-energy-and-the-open-source-energy-movement-part-one/	Adds H40; separate later theory from Baumann statements
HOU-018	historical	Rimstar	Secondary curator	Lists a Testatika forum on overunity.com	A1/S2	medium-high	https://rimstar.org/sdenergy/testa/links.htm	Independent confirmation of Overunity Testatika forum trail
HOU-019	undated	Rimstar	Secondary attribution	Attributes to Hartmann a Methernitha visit and information that the secret is in crystals	S2	low-medium	https://rimstar.org/sdenergy/testa/th3stagepower.htm	Crystal statement remains secondary; Hartmann visit itself is independently strengthened by HOU-024
HOU-020	2008	Interview publication / Stefan Hartmann	Ownership provenance	Interview explicitly identifies Hartmann as owner of Overunity.com and asks why he started the site	H1/A1	high	https://dandelionsalad.wordpress.com/2008/06/27/free-energy-and-the-open-source-energy-movement-part-one/	Confirms Hartmann was platform owner/initiator, not merely forum participant
HOU-021	current archive description	OverunityArchives	Archive provenance	Current archive describes Stefan Hartmann as Ex-Owner & Admin at overunity.com	A1	high for historical platform role	https://overunityarchives.com/	Adds independent retrospective ownership/admin confirmation
HOU-022	2024 archive-transfer account	OverunityMachines archive operator	Archive provenance	Archive operator reports Hartmann contacted him in June 2024 regarding hosting/preservation of old forum data	A1	medium-high	https://overunitymachines.com/index.php?topic=82.0	Clarifies transition from historical Overunity.com to separately operated archive
