segment_id	start_sec	end_sec	timestamp	text
M1_001	0.98	14.98	[00:00 - 00:14]	Are your ideas and endeavors in this direction based on certain religious basics or not less?
M1_002	14.98	16.98	[00:14 - 00:16]	I don't know.
M1_003	16.98	17.98	[00:16 - 00:17]	You do not know?
M1_004	17.98	18.98	[00:17 - 00:18]	No.
M1_005	18.98	19.98	[00:18 - 00:19]	Maybe they are.
M1_006	19.98	20.98	[00:19 - 00:20]	Or I don't know.
M1_007	20.98	34.04	[00:20 - 00:34]	Sometimes we do even not know ourselves what are the driving force.
M1_008	34.04	35.04	[00:34 - 00:35]	Exactly.
M1_009	35.04	39.04	[00:35 - 00:39]	I think it's quite enough to tonight.
M1_010	39.04	40.04	[00:39 - 00:40]	Humanitarianism.
M1_011	40.04	41.04	[00:40 - 00:41]	Humanitarianism.
M1_012	41.04	42.04	[00:41 - 00:42]	Humanitarianism.
M1_013	42.04	43.04	[00:42 - 00:43]	Humanitarianism.
M1_014	43.04	52.36	[00:43 - 00:52]	Humanitarianism is the philosophy that you can serve the human nature.
M1_015	52.36	53.36	[00:52 - 00:53]	Ah!
M1_016	53.36	54.36	[00:53 - 00:54]	Ah!
M1_017	54.36	55.36	[00:54 - 00:55]	Yeah, I understood.
M1_018	55.36	56.36	[00:55 - 00:56]	Yes.
M1_019	56.36	57.36	[00:56 - 00:57]	I understand.
M1_020	57.36	58.36	[00:57 - 00:58]	I understand English.
M1_021	58.36	59.36	[00:58 - 00:59]	I understand English.
M1_022	59.36	60.36	[00:59 - 01:00]	Oh yeah.
M1_023	60.36	61.36	[01:00 - 01:01]	I ask every time, sometimes I do not understand.
M1_024	61.36	62.36	[01:01 - 01:02]	Humanitarianism.
M1_025	62.36	63.36	[01:02 - 01:03]	That's right.
M1_026	63.36	68.36	[01:03 - 01:08]	Good.
M1_027	68.36	77.36	[01:08 - 01:17]	Good. And how did you hear about it?
M1_028	77.36	87.03	[01:17 - 01:27]	We saw a documentary about free energy devices on the internet.
M1_029	87.03	89.03	[01:27 - 01:29]	Ah, on the internet.
M1_030	89.03	100.35	[01:29 - 01:40]	But it was given to me by a friend. And it covered many subjects, cold fusions,
M1_031	100.35	107.35	[01:40 - 01:47]	lots of different inventors. And I was one small bit about the maternal movement in Switzerland.
M1_032	107.35	110.35	[01:47 - 01:50]	And we thought, we should go and see them.
M1_033	110.35	119.95	[01:50 - 01:59]	And see what else is there. It's not just going to be free energy.
M1_034	119.95	125.95	[01:59 - 02:05]	They're thinking about free energy. They must be thinking about other good things.
M1_035	125.95	140.14	[02:05 - 02:20]	Okay. You see, our intention to seek new solutions on the level of energy
M1_036	140.14	147.14	[02:20 - 02:27]	is only, it's not the main part of our purpose.
M1_037	147.14	159.27	[02:27 - 02:39]	Our main purpose is to live a life according to our inner convictions,
M1_038	159.27	163.27	[02:39 - 02:43]	to try to live a life according to our convictions,
M1_039	163.27	174.69	[02:43 - 02:54]	and to try to change that what is possible in our circle,
M1_040	174.69	185.26	[02:54 - 03:05]	to change what is practice and the intent,
M1_041	185.26	193.38	[03:05 - 03:13]	to change the trend of the society, to change all that what we find,
M1_042	193.38	202.09	[03:13 - 03:22]	it does not be on the same line with our principles.
M1_043	202.09	216.15	[03:22 - 03:36]	And the first thing which we, the first topic which we do not like,
M1_044	216.15	221.22	[03:36 - 03:41]	which is challenging our principles.
M1_045	221.22	232.70	[03:41 - 03:52]	The first thing in the human society is that everything is built up on two pillars,
M1_046	232.70	241.18	[03:52 - 04:01]	money and to do something to get this money.
M1_047	242.18	248.18	[04:02 - 04:08]	And this is no good.
M1_048	248.18	257.21	[04:08 - 04:17]	And we were asking ourselves, is it possible to change these pillars?
M1_049	257.21	265.21	[04:17 - 04:25]	And you advocate, you said it, one pillar is to serve each model.
M1_050	265.21	272.94	[04:25 - 04:32]	And to do everything what we do, to do the purposes,
M1_051	272.94	281.94	[04:32 - 04:41]	but with the main purpose, everything what we do should not only serve us,
M1_052	281.94	291.10	[04:41 - 04:51]	should serve in the first blind, people around the next.
M1_053	291.10	300.70	[04:51 - 05:00]	We cannot serve the whole globe, but indirectly it serves the whole.
M1_054	300.70	306.70	[05:00 - 05:06]	If there is the group living in harmony with the main principle
M1_055	306.70	310.70	[05:06 - 05:10]	to serve each other with that what they do,
M1_056	310.70	316.70	[05:10 - 05:16]	it gives something which is helpful for the whole.
M1_057	316.70	327.63	[05:16 - 05:27]	Because it is a harmonious principle for every collective and it works.
M1_058	327.63	340.89	[05:27 - 05:40]	It is something which works out of itself beyond limits, geographical limits
M1_059	340.89	351.89	[05:40 - 05:51]	because it is a spiritual principle and on a spiritual level there are no limits.
M1_060	351.89	362.07	[05:51 - 06:02]	This is a dynamic thing, going, leveraging, working, concentrating.
M1_061	363.07	372.26	[06:03 - 06:12]	Also quantum physics was teaching scientists,
M1_062	372.26	378.26	[06:12 - 06:18]	the open-hearted scientists, my rings they did not know before.
M1_063	378.26	383.26	[06:18 - 06:23]	Very interesting.
M1_064	383.26	393.49	[06:23 - 06:33]	Good, you see, we said if I want to live in this society
M1_065	393.49	400.49	[06:33 - 06:40]	I have to do something to gain money because money is needed
M1_066	400.49	409.49	[06:40 - 06:49]	to pay everything what is asked of me from the state, from the society
M1_067	409.49	420.49	[06:49 - 07:00]	and so on and we said that what we do is valued by the system
M1_068	420.49	428.49	[07:00 - 07:08]	and this value color, do you understand?
M1_069	428.49	442.74	[07:08 - 07:22]	Yes, it is not good. Absolutely very narrow.
M1_070	442.74	446.74	[07:22 - 07:26]	How do you demonstrate that you cannot live in it?
M1_071	446.74	448.74	[07:26 - 07:28]	That's right.
M1_072	448.74	459.74	[07:28 - 07:39]	So one of the first questions was is it possible in a small society
M1_073	459.74	467.74	[07:39 - 07:47]	which is integrated in the whole society we cannot jump in the space?
M1_074	467.74	476.74	[07:47 - 07:56]	No, we are living in the society nowadays but is it possible that a small society
M1_075	476.74	485.74	[07:56 - 08:05]	in the large, in the huge society can choose and live and practice
M1_076	485.74	489.15	[08:05 - 08:09]	all the principles and the others?
M1_077	489.15	497.31	[08:09 - 08:17]	Yes, and we said when I do something, when I work to have a living
M1_078	497.31	506.31	[08:17 - 08:26]	then I would do it with the intention to serve the others
M1_079	506.31	513.31	[08:26 - 08:33]	with that what I do and if all of us have the same intention
M1_080	513.31	516.31	[08:33 - 08:36]	you know that it functions.
M1_081	516.31	521.31	[08:36 - 08:41]	In human society it does not function because you can serve the others
M1_082	521.31	525.31	[08:41 - 08:45]	and the others say oh nice that you do that, thank you so much
M1_083	525.31	532.31	[08:45 - 08:52]	and you receive no feedback, nothing and thank you for starving.
M1_084	532.31	543.31	[08:52 - 09:03]	Because if everybody agrees and has the same principles in the heart
M1_085	543.31	554.41	[09:03 - 09:14]	everybody says everything what I do I want it to do with the sense to serve the next
M1_086	554.41	559.41	[09:14 - 09:19]	and not for me and the next does in the same way
M1_087	559.41	563.41	[09:19 - 09:23]	and the next does in the same way and so I have everything I need
M1_088	563.41	566.47	[09:23 - 09:26]	and the others have everything.
