id	speaker	transmission	machine	source_status	statement_sinngist	conventional_translation	confidence	implication
B001	Methernitha	institutional archived technical text	large two-disc family	O1	One disc represents earth, the other cloud	bipolar electrostatic potential/field reservoirs	high for vocabulary; not for physical theory	model two polarity buses without assuming atmospheric energy source
B002	Methernitha	institutional archived technical text	large two-disc family	O1	Grid electrodes hold/bind charge	field-forming/floating capacitive grid; possible space-charge control	high	measure grid potential, capacitance and corona behavior
B003	Methernitha	institutional archived technical text	large two-disc family	O1	Non-contact Taster/antenna keys collect charges	capacitive/influence pickup electrodes	high	avoid RF-antenna assumption; measure displacement/induced current
B004	Methernitha	institutional archived technical text	large two-disc family	O1	Collected charges are sorted	polarity-selective charge routing / rectification	medium-high	map positive and negative charge paths vs rotor angle
B005	Methernitha	institutional archived technical text	large two-disc family	O1	Rectifying diode keeps cycles steady	phase-selective clamp/charge valve/commutator	medium-high	test diode threshold and conduction phase against torque/rpm; do not automatically identify with M2 crystal
B006	Methernitha	institutional archived technical text	large two-disc family	O1	Correct speed must be slow and steady	RC/leakage/corona relaxation synchronized with rotor phase	high as operating claim	rpm sweep while measuring phase-resolved node voltages
B007	Methernitha	institutional archived technical text	large two-disc family	O1	Grid capacitors store and uniformly discharge	charge-reservoir / DC buffer network	high	measure C, leakage, charge/discharge waveform
B008	Methernitha	institutional archived technical text	large two-disc family	O1	High voltage is reduced and power built up by additional devices	pulsed impedance/charge conversion; not necessarily ordinary transformer	medium	identify time-varying currents in downstream modules
B009	Methernitha	institutional archived technical text	large two-disc family	O1	Output is uniform DC	DC output bus after charge routing/buffering	medium-high	measure waveform with HV differential instrumentation
B010	Methernitha	institutional archived technical text	large two-disc family	O1	Dry air works better; humidity suppresses potential	PMMA surface leakage/charge storage and corona humidity dependence	high as observation	controlled RH matrix
B011	Methernitha	institutional archived technical text	all	O1	Conventional physical terminology only partly describes machine	self-acknowledged nonstandard vocabulary, not evidence of new physics	high	translate each term operationally before theorizing
B012	Paul Baumann	Holzherr direct witness 1999	M0 principle experiment	P1	Solid metal foil instead of wire mesh does not produce same effect	grid geometry changes field penetration, corona, ion transport, capacitance	medium-high	blinded mesh-vs-foil A/B test
B013	Paul Baumann	Holzherr direct witness 1999	M0 principle experiment	P1	This experiment is how it all started	early principle likely variable capacitance/influence + grid charge transfer	medium	use M0 as mechanism test, not kW proof
B014	Paul Baumann	Holzherr direct witness 1999	larger machine	P1	Large capacitors contain 20 layers of perforated sheet	multilayer grid capacitor network	medium-high for M6; not M2	keep model-specific; characterize multilayer capacitance
B015	Paul Baumann	Holzherr direct witness 1999	larger machine	P1	Radium chloride is not the energy source	explicit rejection of radioactivity story	high	do not include radioactive material in baseline
B016	Paul Baumann	Linden visitors -> letter writer	M0b	H2	Nature contains very fine rapidly fluctuating particles; useful effect requires rectifying their flux	asymmetric transport/charge sorting of an unspecified fluctuating carrier	low-medium	test air ions/non-equilibrium sources; do not assume aether
B017	Paul Baumann	Linden visitors -> letter writer	M0b	H2	Understanding the small magnet/capacitor demonstration would reveal the principle	magnet/capacitance/charge-routing clue, provenance weak	low	seek original witness/account; replication previously negative
