source_id	archive_path	sha256	document_role	printed_date	evidence_class	machine_scope	key_use
HAU001	hauser/SMweb2.jpg	add0514f477f1e9046d96c65c622f9ac65d7abf854727c99df9575fef5a50064	Stefan Marinov correspondence scan	9-4-89	P1	M2/M3 small family	ANOTHER language wording; no Tesla/AC; capacitor spirals are electrodes; one small machine no magnets
HAU002	hauser/SMwebL1.jpg	a69d3272d38f670c438895d71104a916c907571a29acc819d3eda3650aac9d93	Stefan Marinov correspondence scan	9/4/90 and 12/2/90	P1	M2/M3 small family	no motor; disk wires connected to nothing; cylindrical grid/plastic/copper spiral pots; two wires per condenser; crystal not rectifier terminology
HAU003	hauser/ABweb1.jpg	fdf6b4cc07be6257bb8b6a79e7ddb3d1eddf9636f19b58390e06d582266fd8ed	Albert Hauser direct-visit report page 1	1986 report of 1986-02-14 visit	P1/I1	M6a	~500x5 mm Plexiglas disk; 50 chrome-steel lamellae; ~60 rpm regulation; material observations
HAU004	hauser/ABweb2.jpg	03027479e5652bc462ddd0514b1780746e682327f3a813b2eb2bc493c376a1a5	Albert Hauser direct-visit report page 2	1986	P1/I1	M4a,M6a	perforated non-contact electrodes; cylinder/magnet/coil structures; top crystal/rectifier interpretation; small ~12 cm model note
HAU005	hauser/ABweb3.jpg	f0a478802f9ef5bb5dc1f070e8eba994a40aa7e884d52358c73573b04bc080a0	Hauser drawing no. 3279	1986 lineage	P1/I1 drawing	M6a	front/back/top/side geometry of medium ~500-mm machine; observer reconstruction not factory drawing
HAU006	hauser/ABweb4.jpg	b3e4ad615c28ea6d6cb78aa752892651f1ba7ad194403da43b5f09bee10071a8	Hauser connection/functional sketch	1986 lineage	P1/I1 drawing	M6a	observer-level node/collection interpretation; not authentic schematic
HAU007	hauser/ABweb9.jpg	a4b4e7a510300d1752f6544def283fb2697be0738127e47a721265ccc8271f34	Hauser follow-up note	undated scan in same packet	P1/I1	M6a	none of electrodes touch disks; reported 300 V x 10 A node claim; three isolated circuits
HAU008	hauser/AHwebL5.jpg	030c4ff3784982027db7c452cad2af5531f94f3cdbc81cde0e45c840b5fcd488	Hauser later correspondence	920224	H1/I1	M2/M3,M6a,comparison	replication uncertainty; electrode-connection variants; magnet usefulness discussion
HAU009	hauser/AHwebL6.jpg	1c31820fa91a1f69d09010497144f0b14e6deba1a999377032d605a90d8ed89f	Hauser later correspondence	920207	H1/I1	M2/M3,M6a	large magnetic sheet sectors versus smaller wire/thread sectors; small-capacitor similarity claim; unresolved grid/coil connections
HAU010	hauser/AHwebL7.jpg	831ab0a45556e3ce6aa495e31e61d4ee9c0dae50fd42e5aed6a4fb3741f800bd	Hauser letter	1988-09-27	P1/I1	M6a	three concentric metal grid tubes with acrylic separators; central magnet tube; two-layer bifilar 18-gauge winding
HAU011	hauser/AHwebl8.jpg	27369d3df79f75f75c657641a841afe10e5427ac125aebeb82944c99d59cce70	Hauser letter continuation	1988-09-27 packet	P1/I1	M2/M3,M6a	crystals only at top in observed large machine; magnet orientation; big machine DC motor/regulator versus small-machine electrostatic Poggendorff-effect statement
