ID	event_or_source_date	publication_date	author_or_source	role	directness	claim_or_record	evidence_class	confidence	project_effect	unresolved_gap
P2K4-001	summer 1984	2000	Inge Schneider	visitor / retrospective eyewitness	first-person retrospective	Visited a Bern-canton residential/work community with an unnamed atomic physicist; inventor identified only as P.B.; later text explicitly identifies machine as Methernitha Testatika	W1-retrospective	high that Schneider reports this visit; medium for fine detail after ~16 years	Adds an early Schneider eyewitness event to chronology without back-dating the 2000 publication	Identify P.B. and unnamed physicist from closer/contemporary source
P2K4-002	summer 1984	2000	Inge Schneider	visitor / machine-description witness	first-person retrospective	Machine described as >1 m wide, ~0.5 m high, two acrylic discs with silver-coated lamellae, acrylic cover, light-metal grids, insulated copper conductors, crystal-diode rectifier and gold-plated terminals	W1-retrospective	medium-high for reported visible architecture	Strengthens dual-disc/segment/grid/rectifier historical architecture cluster	Acquire 1989/1994 Schneider sources and dated images for closer confirmation
P2K4-003	summer 1984	2000	Inge Schneider	visitor / startup observer	first-person retrospective	Inventor starts counter-rotating discs by fingertip until converter is described as sufficiently charged, after which it continues quietly without visible external connection	W1-retrospective	medium-high for wording of remembered startup sequence	Raises weight of explicit charge-up-state interpretation; compatible with cyclic charge-state-regeneration hypothesis without proving source	Need contemporary 1984 wording and quantified startup time/charge state
P2K4-004	summer 1984	2000	Schneider book	output claim source	retrospective narrative + attributed inventor claim	Book states 300 V DC at 10 A after a few seconds; lamp/heating rod demonstration described; long hours/months/years endurance attributed to inventor	W1-claim / metrology-weak	high that book makes claim; low for verified 3-kW net power	Retain 300V/10A as historical claim only; never as closed-balance measurement	Instrument method, simultaneous load values, waveform, uncertainty, duration and closed source boundary missing
P2K4-005	summer 1984	2000	unnamed atomic physicist via Schneider	visual anti-concealment check	second-person observation relayed by eyewitness	Physicist reportedly lifted machine/looked underneath and saw neither battery nor external power source	W1-relayed inspection	medium	Evidence against obvious external cable/battery only; not a hidden-source exclusion	No full enclosure inspection, source-impedance test or closed energy balance
P2K4-006	summer 1984	2000	Inge Schneider	visitor / visual detail	first-person retrospective	Central ~10-cm disc described as shimmering in rainbow colours while operating	W1-retrospective	medium	Creates image-matching/geometric lead with no assigned electrical function	Match against dated photos/film before mechanism inference
P2K4-007	Camus story predates 2000	2000	Nelson Camus via Schneider	separate-machine story / mechanism theorist	secondary report	Camus associated a Chile Mennonite-community machine with Testatika and inferred radium; Schneiders explicitly say his transfer of that explanation to Swiss Testatika was probably not correct	HYPOTHESIS / separate provenance	high that book reports and doubts the hypothesis; low for Swiss mechanism	Keep Chile and Swiss source chains separate; do not add radium to canonical mechanism	Original Chile evidence and Camus primary documentation missing
P2K4-008	pre-2000 reconstruction	2000 reproduction	Nelson Camus / Energy Research lineage	reconstruction schematic	M3 reconstruction	Printed p.188 drawing labels twin disk, standard Wimshurst capacitor, 60-Hz steel segments at 60 rpm, collector brushes, Poggendorff motor brushes, horseshoe permanent magnets with coils, diode capacitor, HV input, low-voltage output, Leyden jars, spark gap and radium-doped inductor-capacitor	M3/HYPOTHESIS	high for labels visible in reproduced drawing; low for actual Methernitha topology	Useful historical reconstruction map for segment timing + magnet/coil + diode/capacitor + HV/storage/spark-gap cluster	Recover original `Methernitha Testatica` Energy Research Co brochure and drawing provenance
P2K4-009	pre-2000 source lineage	2000 image credits	Energy Research Co	brochure / image-source lead	bibliographic provenance lead	Image credits source printed p.188 to brochure `Methernitha Testatica`, Energy Research Co	A1 acquisition lead	high	Raises brochure to high-priority provenance target	Date, author, edition and original scan missing
P2K4-010	1989	2000 bibliography	Adolf Schneider	prior Testatika source	bibliographic source lead	`Energien aus dem Kosmos` (1989), p.29 identified by Schneider 2000 as Testatika reference	A1 acquisition lead	high for bibliography	Priority source closer to 1984 event than 2000 retrospective	Original 1989 p.29 still to acquire/audit
P2K4-011	1994-1999	2000 bibliography	Schneider / NET-Journal / Jupiter / Kelly / Meyl	prior source cluster	bibliographic source leads	Book lists Inge Schneider 1994; Schneider 1996; NET-Journal 6/1999 p4ff; Jupiter-Info/Oeko-Journal Jul/Aug1995 p15ff; D. Kelly `Der Schweizer ML-Konverter`; Meyl 1998 pp102-105	A1 acquisition leads	high for listed references	Builds explicit source-genealogy targets around Testatika	Acquire originals and separate copied claims from independent observations
P2K4-012	c.2000	2000	Adolf/Inge Schneider	web-directory witness	contemporaneous publication	Book identifies overunity.de as Stefan Hartmann's Overunity database/homepage	A1 contemporaneous role evidence	high	Supports Hartmann as documentation/web node around 2000 only	Does not establish film authorship; keep visit/film/site roles separate
