ID	event_date	publication_date	author_or_source	source_role	machine_scope	directness	claim_or_observation	mechanism_interpretation	evidence_class	confidence	access_url	source_genealogy	unresolved_gap
P2K-001	1983	1985	DVS members via Hans A. Nieper	inspection relay	unspecified Swiss M-L converter	secondary relay	Nieper states selected DVS members inspected the converter in 1983 and 1984	none securely attributable to 1983 inspection	H2	medium	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985	1983 DVS inspection -> Nieper 1985 -> later repetitions	Original 1983 DVS report, visitor names, notes and measurements missing
P2K-002	1984-03-13	1994	Inge Schoenthal/Schneider + Hans Weber	visitor eyewitness retrospective	large/two-disc demonstration family	retrospective witness	Visit date and machine demonstration reported in later Schneider publication	Later narrative includes electrostatic/influence interpretation; operator wording requires earlier notes	W1-retrospective	medium-high for event / medium for exact wording	https://www.jupiter-verlag.ch/shop/auswahl_neu.php?fromMain=j	1984 visit -> Schneider 1994 -> later books/sites	Any contemporaneous 1984 notebook/report/photo/instrument sheet
P2K-003	1984-03-17	1985	L. L., Rorschach	visitor eyewitness report	~45-cm two-disc converter	direct witness text reproduced by Nieper	~60 rpm; magnetic impulse synchronization; strong horseshoe magnets; electrical resonance-circuit wording; Leyden storage; load demo	Witness says secret lies in charging discs using horseshoe magnets that are parts of electrical resonance circuits	W1/I1	high for reproduced report / medium for causal interpretation	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985	L.L. report -> Nieper 1985 -> Kelly/later mirrors	Original typed/signed L.L. report and operator quote bridge missing
P2K-004	1984-10-20	1985	P. H. Matthey via Nieper	engineer visitor/report relay	Swiss M-L converter	quoted/relayed by Nieper	Matthey reportedly inspected converter with Swiss engineers; no ordinary primary propulsion identified	Nieper frames source as gravity-stressing/tachyon field; do not assign this to Matthey without original report	H1/H2	medium-high for visit / low-medium for source theory	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985	Matthey report -> Nieper 1985	Original Matthey report missing
P2K-005	1984-10-28	1985	Hans A. Nieper	visitor + theory author	Swiss M-L converter	direct author self-report	Nieper says he personally inspected converter	Gravity-stressing/tachyon-field source is Nieper's interpretation	H1 + HYPOTHESIS	high for self-reported visit / low for source mechanism	https://www.scribd.com/document/131614540/33883875-Nieper-Conversion-of-Gravity-Field-Energy-Revolution-in-Technology-Medicine-and-Society-1985	Nieper 1985 -> later repetitions	No closed contemporaneous measurement record recovered
P2K-006	1986-02-14	1986-05	Albert Hauser	visitor eyewitness	large machine plus small variants	direct witness report	Four-hour visit; layered perforated/insulating structures; magnets/bifilar assemblies; machine-family differences	Hauser's functional/circuit assignments remain interpretations	W1	high for report / medium for inferred functions	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	visit -> DIFOT-News 5/1986 -> UFO-Contact 6/1986 -> English 1987 -> later mirrors	Original DIFOT-News 5/1986 scan missing
P2K-007	1986-02-14	1986-05	DIFOT-News no.5	first known Hauser publication	large machine plus small variants	publication genealogy	Hauser says short report first printed May 1986	n/a	A1	medium-high	https://equapio.com/energie/testatika-legendaere-energiemaschine-der-methernitha/	Hauser visit -> DIFOT-News 5/1986	Original issue missing
P2K-008	unknown pre-1987	1987-08	Donald A. Kelly	technical author/synthesizer	Swiss M-L converter	secondary technical synthesis	raum & zeit archive confirms Kelly described Testatika in Magnets Aug 1987 and supplied electro-schematic diagram	Kelly circuit drawing is reconstruction/synthesis, not verified hidden circuit	A1/S2	high for publication existence / low-medium for circuit truth	https://www.raum-und-zeit.com/produkt/der-schweizer-ml-konverter/	Magnets Aug1987 -> raum&zeit 40/1989 -> Kelly/Bailey 1991 -> later manuals	Original Magnets Aug1987 issue/title/pages not acquired
P2K-009	1988-02-09	1988	Methernitha / Francis Bosshard	institutional letter	Testatika program	primary institutional preserved in contemporaneous Marinov book	Explains ethical/secrecy rationale; uses free-energy-device framing	No technical source mechanism disclosed	SOURCE-STATED / institutional primary	high	https://www.scribd.com/document/117711133/The-Thorny-Way-of-Truth-Part3-Maririch	Methernitha letter -> Marinov TWT-III 1988 -> later quotes	Original paper letter image should be preserved at highest quality if available
P2K-010	1988-06	1988	Stefan Marinov	visitor/self-report	Methernitha/Testatika	direct author	Spent two days at Methernitha; explicitly says he did not understand principle and could not reproduce it	No recovered mechanism	H1	high	https://www.scribd.com/document/117711133/The-Thorny-Way-of-Truth-Part3-Maririch	Marinov 1988 -> later reprints	Exact machine(s) inspected and permitted measurements need machine-specific reconstruction
P2K-011	1986-02-14	1988	Albert Hauser / difoet-nyt no.14	fuller visitor report	large machine plus variants	retrospective publication genealogy by Hauser	Hauser says fuller report published in no.14/1988	Same Hauser observation line; not independent witness	A1/W1	medium-high	https://equapio.com/energie/testatika-legendaere-energiemaschine-der-methernitha/	Hauser visit -> fuller difoet-nyt 14/1988 -> later mirrors	Original issue missing
P2K-012	unknown	1988-12	Magnets Magazine / attributed Kelly line	bibliographic lead	Swiss M-L converter	unverified bibliographic lead	Often cited as More About the Swiss M-L Converter: Pros and Cons	unknown	UNKNOWN/A1-lead	low-medium		secondary bibliographies -> later references	Original Dec1988 issue/title/pages not recovered
P2K-013	1988/1989	1989	Stefan Marinov	visitor + theory author	Testatika families	direct author	Reports visits; states he did not dismantle machine or possess technical drawings; discusses what drawings came from others	Marinov develops own source/conservation interpretations; notes simple terrestrial E-field collection would require long antenna absent on Testatika	H1 + HYPOTHESIS	high for inspection-limit statements / low-medium for source theory	https://www.raum-und-zeit.com/produkt/methernitha-und-testatika/	Marinov visits -> TWT/raum&zeit 1989 -> later reprints	Recover full original issue/TWT pages in archival-quality form
P2K-014	1989-10	1989	Methernitha	institutional sound-track transcription	institutional Testatika presentation	primary-source bibliography, full text pending	Informationsfilm Thesta-Distatica: Sound Track Transcription in SAFE Einsiedeln proceedings	Institutional self-description is high priority; exact wording needed before mechanism claims	A1 / primary-source target	high for bibliographic existence	https://www.padrak.com/ine/INE11.html	Methernitha soundtrack -> SAFE proceedings 1989 -> later translations/summaries	Full original proceedings/transcript ISBN 3-9520025-1-8 not yet acquired
P2K-015	1989 congress	1990-05	Oswald Eggenberger / Relinfo	independent external reporter	public Methernitha presentation	near-contemporary independent report	Bosshard presented Testatika at SAFE congress via film; described as converter catching freely available energy	Reports Bosshard's public belief, not a technical inspection	S1/A1	medium-high	https://www.relinfo.ch/methernitha/testatikatxt.html	1989 public presentation -> Relinfo May1990	Exact Bosshard speech/transcript needed for wording
P2K-016	pre-1991 visit	1991-01/02	Stefan Hartmann via Totse mirror	direct author/self-reported visitor	Testatika general	H1-M direct-author mirror	Explicitly says he personally visited Methernitha; frames Testatika as Wimshurst-like electrostatic machine with magnetic additions	Charged/ionized air and possible background/vacuum energy are Hartmann's hypotheses	H1-M + HYPOTHESIS	high for self-report / low for performance and source mechanism	https://newtotse.com/oldtotse/en/fringe/free_energy/statika1.html	Hartmann 1991 text -> later mirrors	Original pre-mirror posting/header and exact visit date should be recovered
P2K-017	pre-1991 synthesis	1991	Donald Kelly + Patrick Bailey	conference technical synthesis	Swiss M-L converter	secondary review/synthesis	26th IECEC vol4 pp467-472; compiles prior Testatika information	Engineering synthesis; not independent closed original-machine measurement	S2/A1	high for publication / medium-low for hidden-circuit truth	https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=200902001434259167	prior reports/Methernitha material -> IECEC 1991 -> later citations	Full proceedings paper should be source-mapped claim by claim
P2K-018	1992-02-03	1992-02-03	Stefan Hartmann	direct Usenet author	Testatika comparative theory	direct author	Compares Hyde electrostatic rotor/stator patent with Testatika; seeks first-hand reports and remains skeptical of Hyde 900-percent claim	Shows early electrostatic/variable-capacitance engineering frame	H1	high	https://groups.google.com/g/sci.energy/c/pVGecAtRSXc	Usenet original -> later archive	Map all pre-2000 Hartmann posts/threads chronologically
P2K-019	1984-03-13	1994	Inge Schneider	retrospective author	large/two-disc demonstration family	W1-retrospective	Detailed surviving narrative of 1984 visit	Influence/ion explanations and quoted wording must be separated from direct 1984 notes	W1-retrospective	medium-high for event / medium for precise wording	https://www.jupiter-verlag.ch/shop/auswahl_neu.php?fromMain=j	1984 event -> 1994 book -> later books/sites	Earlier notes/publication missing
P2K-020	pre-1997 source	1997 mirror	Stefan Marinov postcard attribution	correspondence lead	M2/small-machine variants	mirror attribution	Purported postcard describes small pot cylindrical grid + plastic + central Cu spiral and says one small machine had no magnets	Machine-specific direct correspondence potentially high value if original recovered	H1-M lead	medium-low until original	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	original postcard? -> 1997 mirror -> later use	Original postcard/high-res scan with date/addressee missing
P2K-021	unknown earlier engineer visit	1998/1999	anonymous correspondent relaying Sauder/Snicker	second-hand engineer relay	large/workshop converter family	H2	Engineers allegedly found simple pots/top stage; tunable jumper reportedly needed retuning after disassembly	Supports tunable L/C top-conditioner hypothesis only as relay	H2	low-medium	https://www.robkalmeijer.nl/techniek/experiments/testakica/index.html	Sauder/Snicker memories -> anonymous letter -> mirror	Original engineer notes/photos; page says received Mar1998 but letter dated Mar10 1999
P2K-022	1998	1998-08/11	Don Kelly / New Energy News	research/replication commentary	Swiss M-L converter	secondary commentary	Kelly discusses Testatika and prototype-building efforts	Later replication/theory history, not operator evidence	S2/A1	medium	https://www.padrak.com/ine/	Kelly/SEA work -> NEN 1998	Original issue scans and exact prototype test records
P2K-023	1999-08	1999-08	Hans Holzherr	direct eyewitness correspondence	50-cm machine plus ~12-cm variants and Principle Experiment	W1	~1.5h running visit; nominal 1000W lamp ~10s; heater/arc; ~15rpm; cannot exclude hidden storage in 50-cm base; small machines reportedly liftable; mesh/PMMA Principle Experiment ~60V after ~10 swings; solid foil reportedly would not work	Strong geometry/behavior discriminator; no closed energy source	W1	high for report / low for net-power proof	https://www.novakcorp.com/energy/experiments/tesnews.htm	Holzherr correspondence -> multiple mirrors	Original emails/headers/photos and any raw instrument data
P2K-024	1999	1999-06	NET-Journal	publication lead	Testatika general	bibliographic lead	Das Geheimnis der Testatika, Heft 6/1999 p4ff cited in later Schneider bibliography	unknown until full text acquired	A1-lead	medium	https://de.scribd.com/doc/61388011/Schneider-Adolf-Inge-Energie-Aus-Dem-All	NET-Journal 1999 -> Schneider 2000 bibliography	Full original article/issue not yet acquired
