id	printed_pages	source_role	claim_or_content	evidence_status	repo_effect	guardrail
SCH23-048-050	48-50	later Schneider synthesis / witness-summary block	autonomous supply discussion; section headed 'Keine radioaktive Quelle'	S2/WITNESS-SUMMARY	preserve as radioactivity-question genealogy	no documented radiation assay; do not treat as measured exclusion
SCH23-056-R1K	56	later relay in Frolov section	Baumann attributed statement that neighbouring disk lamellae are connected through 1000-ohm resistors forming circular path	S2-RELAY-CONFLICT	concrete printed provenance for late 1-kOhm claim	does not replace direct Marinov small-machine 'connected to nothing' baseline
SCH23-061-MATTHEY	61	later relay of Matthey 1984 report via Marinov/book chain	~1 h demo; several-kW claim; startup described as charge phase; slow disks/HV; claimed weather dependence; no socket/battery; anti-fraud statement	S2-HIGH-VALUE-RELAY	upgrade original Matthey report acquisition priority	no closed energy balance; original 1984 report still missing
SCH23-071-075-CAMUS	71-75	Camus reconstruction reproduced in Schneider	dual disks; segments; magnets/coils; diode/capacitor; Leyden jars; spark gap; radium hypothesis	M3-RECONSTRUCTION	provenance/comparison only	not Methernitha factory schematic; radium not canonical Swiss source
SCH23-078-079-MARINOV	78-79	later synthesis of Marinov experiment	~25-kV electrostatic motor test and reported output/input factor around 13.3	S2-RELAY-OF-PRIMARY	cross-check only; primary audit already canonical	not a closed simultaneous COP measurement
SCH23-080-083-MARINOV	80-83	later synthesis of Marinov small-machine material	drive/collection roles; recharge of drive capacitors; humidity/start pushes; E-W startup; ~1 rps; nearby metal plate effect	S2-RELAY-OF-PRIMARY	corroborates charge-state regeneration question and environmental sensitivity	no evidence-weight increase over direct Marinov scans; source of recharge energy remains unknown
SCH23-087-090-HAUSER	87-90	Hauser drawings reproduced in later book	~500-mm disk; ~50 chrome-steel lamellae; perforated noncontact electrodes; large side assemblies; incomplete electrical connections	P1-DERIVED-REPRODUCTION	cross-check M6 geometry and uncertainty	large-machine details must not overwrite M2 baseline
SCH23-091-097-KELLY	91-97	Don Kelly reconstruction/synthesis	twin disks; segments; magnets; crystal/diode; Leyden jars; 300Vx10A-class claims	S2-I1-RECONSTRUCTION	hypothesis genealogy only	not original wiring or calibrated output measurement
SCH23-098-107-POTTER	98-107	Paul Potter back-engineering / comparison	Tesla/Plauson/HF; polarized gates; rectifier/coil; electron cascade; complete later diagram; ~50 sector-events/s idea	S2-I1-COMPARATOR	retain as comparator and hypothesis history	do not import intentional Tesla/HF stage into historical M2 without primary bridge
SCH23-108-111-MANGHIN	108-111	later web/explanatory model	electron cascade; air ionization; horseshoe magnets; coils/resonance	S3-HYPOTHESIS	terminology/hypothesis map only	not operator-disclosed mechanism or power-source proof
